GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20
-0.0002672573,0.001872066,2.5486e-06,0.000227134,-4.47057e-05,0.0001294571,0.0161283,-0.0001984221,-0.002176053,0.002022558,0.002070926,-0.0008049114,0.004680062,0.001609729,-0.003948027,0.000272093,0.001684112,-0.000563804,0.0008515051,-0.01933582
0.000304965,0.001864001,2.7192e-06,0.0002272674,-4.40557e-05,0.0001287246,0.01614016,-0.0001814274,-0.00215801,0.002023533,0.002069309,-0.0007950465,0.004189255,0.002430071,-0.003672764,0.0002722965,0.007461842,-0.0005516784,0.002879437,-0.02163619
-0.0002331876,0.001856058,2.9616e-06,0.0002272943,-4.35686e-05,0.0001287677,0.01639164,-0.0001876928,-0.002145569,0.002016961,0.002067785,-0.0007994088,0.003405808,0.003242077,-0.003506868,0.0002721438,0.01709211,-0.0005398887,0.004203589,-0.01605812
0.0002986634,0.001848073,3.1533e-06,0.0002274503,-4.40056e-05,0.0001291016,0.01619341,-0.000210143,-0.002143921,0.002010889,0.002066371,-0.0008182789,0.002491762,0.003783662,-0.003633417,0.0002717041,0.02780533,-0.0005231128,0.00498592,-0.007584325
-0.0001922764,0.001839932,2.969e-06,0.000227449,-4.44425e-05,0.0001286694,0.01619506,-0.0002293225,-0.002145616,0.002008617,0.002065052,-0.0008392214,0.00173365,0.003846618,-0.003886265,0.000271329,0.006171294,-0.0005038452,0.004963994,-0.00080378
0.0003095415,0.001831688,2.7822e-06,0.0002273337,-4.44379e-05,0.0001281339,0.01578576,-0.0002416083,-0.002142957,0.002009253,0.00206386,-0.0008577755,0.001168969,0.003490954,-0.004019954,0.0002715619,-0.00921402,-0.0004853797,0.004104256,0.006100136
-0.000175863,0.001824149,3.0858e-06,0.0002276421,-4.39971e-05,0.0001278344,0.01372961,-0.0002554308,-0.002136365,0.002011452,0.002062762,-0.000878719,0.0008179231,0.003083411,-0.00387262,0.0002731982,-0.01431055,-0.0004670978,0.003207897,0.007615342
0.0003266357,0.001816556,3.3491e-06,0.0002279826,-4.35312e-05,0.0001276168,0.01167448,-0.0002738956,-0.002130097,0.002014004,0.002061802,-0.0009026876,0.0005844513,0.003156141,-0.003581842,0.0002760535,-0.03092736,-0.000447452,0.002339,0.00691608
-0.0001518727,0.001808076,2.9306e-06,0.0002277636,-4.3762e-05,0.0001276076,0.009619343,-0.0002863207,-0.002126022,0.002013201,0.002060933,-0.0009208546,-7.06159e-05,0.004005782,-0.003250317,0.0002786075,-0.04097135,-0.0004265645,0.001275848,0.004388928
0.00032837,0.001799819,2.5396e-06,0.0002274464,-4.40574e-05,0.0001274431,0.007563397,-0.0002787845,-0.002122889,0.002000604,0.002060196,-0.0009165309,-0.001314965,0.005256731,-0.002933792,0.0002790873,-0.02157105,-0.0004052202,0.0001497502,0.001128349
